id,domain,platform,severity,result,status,effort,confidence,title,affected_files,recommendation
SEC-BACKOFFICE-001,security,backoffice,critical,fail,open,M,medium,La API de permisos se ejerce desde una pantalla que no exige SUPER_ADMIN,src/api/permissions.ts | src/App.tsx | src/modules/support/SupportTicketDetailModal.tsx,"Exigir SUPER_ADMIN en el servidor para todo /api/v1/backoffice/permissions/** mediante una regla central (no por endpoint). En el frontend, separar el listado de operadores de soporte en un endpoint de solo lectura de minimo privilegio (por ejemplo GET /support/assignees) para que la pantalla de soporte no cargue la API de permisos."
SEC-BACKOFFICE-004,security,backoffice,critical,fail,open,M,high,Activacion de empleado del backoffice con codigo numerico de 6 digitos y sin limite de intentos en cliente,src/pages/ActivateEmployeePage.tsx | src/App.tsx,"Sustituir el codigo de 6 digitos por un token de un solo uso de alta entropia enviado por correo, con caducidad corta, invalidacion al primer uso e invalidacion de la invitacion tras N intentos fallidos. Aplicar limite de tasa por correo y por IP en el servidor. Mientras exista el codigo corto, no permitir que el correo se prerrellene desde la URL."
SEC-BACKOFFICE-002,security,backoffice,high,fail,open,S,high,hasBackofficePermission concede todas las areas a ADMIN cuando /auth/me no devuelve permissions,src/hooks/usePermissions.ts | src/context/AuthContext.tsx,"Tratar la ausencia de permissions como cero permisos (fail closed) y eliminar el fallback por rol. Hacer que /auth/me devuelva siempre el array permissions y que mapCurrentUser lo propague en ambas formas de respuesta. La decision de autorizacion debe ser siempre por permiso explicito, nunca por rol implicito."
SEC-BACKOFFICE-003,security,backoffice,high,partial,open,L,high,"Las guardas de rol son exclusivamente de cliente: ocultan la UI, no protegen la API",src/App.tsx | src/hooks/usePermissions.ts,Replicar cada guarda como regla de autorizacion en el servidor y tratar el frontend unicamente como capa de presentacion. Anadir una prueba de integracion por area que compruebe 403 con un token de otra area.
SEC-BACKOFFICE-005,security,backoffice,high,fail,open,M,high,"Recuperacion de contrasena con codigo de 6 digitos, realm elegido por el cliente y minimo de 6 caracteres",src/pages/RecoverPasswordPage.tsx,Token de un solo uso de alta entropia en el enlace de correo en lugar del codigo de 6 digitos; limite de tasa por correo e IP con invalidacion tras N fallos; derivar el dominio de identidad del propio token en el servidor y dejar de aceptar rol desde el cuerpo; unificar el minimo de contrasena en 12 caracteres para personal del backoffice.
SEC-BACKOFFICE-006,security,backoffice,high,fail,open,M,high,"El token de acceso del backoffice se guarda en localStorage/sessionStorage, legible por cualquier script",src/context/AuthContext.tsx | src/utils/documentUrls.ts,"Emitir la sesion en una cookie HttpOnly, Secure, SameSite=Strict (el cliente ya envia withCredentials: true, asi que el cambio es menor del lado del navegador) y eliminar por completo la persistencia en Web Storage. Si por compatibilidad debe mantenerse un token en memoria, que viva solo en el contexto de React y nunca en localStorage."
SEC-BACKOFFICE-007,security,backoffice,high,fail,open,S,high,El cierre de sesion es solo local: el token nunca se revoca en el servidor,src/context/AuthContext.tsx | src/api/auth.ts,"Llamar a POST /auth/logout desde logout() y revocar el token en el servidor (lista de revocacion o sesion en servidor). Si se migra a cookie HttpOnly, el logout debe limpiarla desde el servidor."
SEC-BACKOFFICE-010,security,backoffice,high,fail,open,S,medium,El token del backoffice se envia a cualquier origen que venga en la URL de un documento,src/utils/documentUrls.ts | src/components/shared/DocumentPreview.tsx,"Reutilizar en documentUrls el mismo control que ya existe en useAuthedImage: adjuntar getAuthHeaders() solo cuando la URL sea relativa o su origen coincida con API_ORIGIN, y hacer la peticion anonima en cualquier otro caso. Mejor aun, centralizar la comprobacion en una unica funcion fetchConToken() usada por los cuatro sinks."
SEC-BACKOFFICE-012,security,backoffice,high,fail,open,L,high,La clave X-Backoffice-Api-Key y su superficie privilegiada quedaron en el historial de git,PLAN_BACKOFFICE_POLLING.md (borrado; presente en el historial de git),"Rotar de inmediato REPUESTOP_BACKOFFICE_API_KEY en todos los entornos, sin reutilizar el patron de nombre. Purgar el archivo del historial (git filter-repo o equivalente) y forzar la reescritura coordinada. Sustituir la autenticacion por cabecera estatica compartida por credenciales por cliente con identidad, rotacion y registro de auditoria, y anadir autorizacion por operacion en /external/backof"
SEC-BACKOFFICE-013,security,backoffice,high,fail,open,L,high,La nomina de pagos BCI se construye entera en el navegador y el servidor nunca la valida,src/modules/administration/bciNominaExport.ts | src/modules/administration/PagoProveedoresPage.tsx | src/modules/administration/PagoCaptadoresPage.tsx,"Generar la nomina en el servidor a partir de los retiros aprobados en base de datos y entregarla como descarga firmada, con un identificador de nomina persistido. El cliente solo debe pedir la exportacion y recibir el archivo. Registrar en la bitacora quien exporto que nomina, con que importe total y que retiros incluyo, y conciliar el total contra la suma de los retiros aprobados."
